author,commits,added,deleted,files,bugfix_commits,avg_files_per_commit,avg_lines_per_commit,weekend_rate,experience,score,tier,salary_adjustment
 Christopher Su,2,0,0,0,0,0.0,0.0,0.0,1,0.00016304347826086955,3,0.08
 Sean Cronin,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Matt Skone,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 talam,1,0,0,0,1,0.0,0.0,1.0,0,0.04965397923875433,1,0.15
 John Hobbs,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 rsyring,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Alexey Shamrin,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Hyunjun Kim,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6,-0.1
 dmackinnon,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6,-0.1
 Daniel Richman,1,49,3,0,0,0.0,52.0,1.0,0,0.05632449389268484,1,0.15
 Oliver Beattie,2,0,0,0,0,0.0,0.0,0.0,1,0.00016304347826086955,3,0.08
 Jet Sun,1,0,0,0,1,0.0,0.0,1.0,0,0.04965397923875433,1,0.15
 Michael Bikovitsky,2,0,0,0,0,0.0,0.0,1.0,1,0.05016304347826087,1,0.15
 Wouter Van Hemel,2,0,0,0,0,0.0,0.0,0.0,1,0.00016304347826086955,3,0.08
 Sean Vieira,2,0,0,0,2,0.0,0.0,0.0,1,-0.00052899804423048,6,-0.1
 Adam Obeng,1,0,0,0,1,0.0,0.0,1.0,0,0.04965397923875433,1,0.15
 Will Bowlin,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Maximilian Hils,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6,-0.1
 enkore,1,0,0,0,1,0.0,0.0,1.0,0,0.04965397923875433,1,0.15
 Jamie Grove,1,0,0,0,0,0.0,0.0,1.0,0,0.05,1,0.15
 Kevin Burke,4,46,10,0,0,0.0,14.0,1.0,3,0.05223840000701618,1,0.15
 Chason Chaffin,1,0,0,0,0,0.0,0.0,1.0,0,0.05,1,0.15
 Robert Picard,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Eric Radman,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Nick Zaccardi,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Martín Gaitán,1,0,0,0,0,0.0,0.0,1.0,0,0.05,1,0.15
 BobStevens,2,0,0,0,1,0.0,0.0,0.0,1,-0.00018297728298480523,6,-0.1
 Igor Mozharovsky,1,0,0,0,1,0.0,0.0,1.0,0,0.04965397923875433,1,0.15
 Karol Kuczmarski,1,23,1,0,0,0.0,24.0,1.0,0,0.052919542564785586,1,0.15
 augustusdsouza,1,0,0,0,1,0.0,0.0,1.0,0,0.04965397923875433,1,0.15
 Stefano Costa,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Serge S. Koval,1,30,1,0,1,0.0,31.0,0.0,0,0.0034254686341250863,3,0.08
 Mark Steve Samson,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6,-0.1
 Thomas Waldmann,23,187,225,0,9,0.0,17.91,0.83,22,0.04439230563997774,2,0.12
 Tobias Bieniek,1,0,0,0,1,0.0,0.0,1.0,0,0.04965397923875433,1,0.15
 Akshar Raaj,1,0,0,0,1,0.0,0.0,0.0,0,-0.0003460207612456748,6,-0.1
 Cenk Altı,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Jason Moon,1,0,0,0,1,0.0,0.0,1.0,0,0.04965397923875433,1,0.15
 Alexander Thaller,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Trey Long,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Steve Leonard,1,0,0,0,0,0.0,0.0,0.0,0,0.0,4,0
 Ed Burnett,2,0,0,0,0,0.0,0.0,0.0,1,0.00016304347826086955,3,0.08
